var1(t-5),var2(t-5),var3(t-5),var4(t-5),var1(t-4),var2(t-4),var3(t-4),var4(t-4),var1(t-3),var2(t-3),var3(t-3),var4(t-3),var1(t-2),var2(t-2),var3(t-2),var4(t-2),var1(t-1),var2(t-1),var3(t-1),var4(t-1),var1(t),var2(t),var3(t),var4(t)
2.2598137,-4.5465974,-0.90111062,1.187025,1.8993694,-4.0717874,-0.96261715,1.3975563,1.48972,-3.4285524,-0.99263485,1.4095401,1.1052616,-2.9441553,-0.84308464,1.2762497,0.81525226,-2.4075526,-0.8757881,1.2377305,0.40463108,-1.9539709,-0.83733271,1.1640346
1.8993694,-4.0717874,-0.96261715,1.3975563,1.48972,-3.4285524,-0.99263485,1.4095401,1.1052616,-2.9441553,-0.84308464,1.2762497,0.81525226,-2.4075526,-0.8757881,1.2377305,0.40463108,-1.9539709,-0.83733271,1.1640346,0.14538609,-1.4763249,-0.66774522,1.3007638
1.48972,-3.4285524,-0.99263485,1.4095401,1.1052616,-2.9441553,-0.84308464,1.2762497,0.81525226,-2.4075526,-0.8757881,1.2377305,0.40463108,-1.9539709,-0.83733271,1.1640346,0.14538609,-1.4763249,-0.66774522,1.3007638,-0.1295651,-0.91335984,-0.63961457,1.4293548
1.1052616,-2.9441553,-0.84308464,1.2762497,0.81525226,-2.4075526,-0.8757881,1.2377305,0.40463108,-1.9539709,-0.83733271,1.1640346,0.14538609,-1.4763249,-0.66774522,1.3007638,-0.1295651,-0.91335984,-0.63961457,1.4293548,-0.36630557,-0.33284107,-0.54489239,1.4472727
0.81525226,-2.4075526,-0.8757881,1.2377305,0.40463108,-1.9539709,-0.83733271,1.1640346,0.14538609,-1.4763249,-0.66774522,1.3007638,-0.1295651,-0.91335984,-0.63961457,1.4293548,-0.36630557,-0.33284107,-0.54489239,1.4472727,-0.56547902,0.24445831,-0.52591162,1.3988826
0.40463108,-1.9539709,-0.83733271,1.1640346,0.14538609,-1.4763249,-0.66774522,1.3007638,-0.1295651,-0.91335984,-0.63961457,1.4293548,-0.36630557,-0.33284107,-0.54489239,1.4472727,-0.56547902,0.24445831,-0.52591162,1.3988826,-0.78703486,0.78626504,-0.4865987,1.2699752
0.14538609,-1.4763249,-0.66774522,1.3007638,-0.1295651,-0.91335984,-0.63961457,1.4293548,-0.36630557,-0.33284107,-0.54489239,1.4472727,-0.56547902,0.24445831,-0.52591162,1.3988826,-0.78703486,0.78626504,-0.4865987,1.2699752,-0.95475798,1.2604385,-0.53423096,1.3331752
-0.1295651,-0.91335984,-0.63961457,1.4293548,-0.36630557,-0.33284107,-0.54489239,1.4472727,-0.56547902,0.24445831,-0.52591162,1.3988826,-0.78703486,0.78626504,-0.4865987,1.2699752,-0.95475798,1.2604385,-0.53423096,1.3331752,-1.2144196,1.8528052,-0.66872923,1.1801111
-0.36630557,-0.33284107,-0.54489239,1.4472727,-0.56547902,0.24445831,-0.52591162,1.3988826,-0.78703486,0.78626504,-0.4865987,1.2699752,-0.95475798,1.2604385,-0.53423096,1.3331752,-1.2144196,1.8528052,-0.66872923,1.1801111,-1.4897414,2.2045274,-0.68830433,0.87930533
2.7401793,-2.4238506,0.053060755,1.8156253,2.7614036,-1.6976005,-0.017159581,1.7749554,2.7264517,-1.0038863,-0.044978836,1.6788748,2.7254206,-0.35450066,-0.017135367,1.7724508,2.7127434,0.41407434,-0.1350716,1.6917589,2.6173633,0.99890642,-0.15891186,1.6709421
