var1(t-3),var2(t-3),var1(t-2),var2(t-2),var1(t-1),var2(t-1),var1(t),var2(t)
2.2598137,-4.5465974,1.8993694,-4.0717874,1.48972,-3.4285524,1.1052616,-2.9441553
1.8993694,-4.0717874,1.48972,-3.4285524,1.1052616,-2.9441553,0.81525226,-2.4075526
1.48972,-3.4285524,1.1052616,-2.9441553,0.81525226,-2.4075526,0.40463108,-1.9539709
1.1052616,-2.9441553,0.81525226,-2.4075526,0.40463108,-1.9539709,0.14538609,-1.4763249
0.81525226,-2.4075526,0.40463108,-1.9539709,0.14538609,-1.4763249,-0.1295651,-0.91335984
0.40463108,-1.9539709,0.14538609,-1.4763249,-0.1295651,-0.91335984,-0.36630557,-0.33284107
0.14538609,-1.4763249,-0.1295651,-0.91335984,-0.36630557,-0.33284107,-0.56547902,0.24445831
-0.1295651,-0.91335984,-0.36630557,-0.33284107,-0.56547902,0.24445831,-0.78703486,0.78626504
-0.36630557,-0.33284107,-0.56547902,0.24445831,-0.78703486,0.78626504,-0.95475798,1.2604385
-0.56547902,0.24445831,-0.78703486,0.78626504,-0.95475798,1.2604385,-1.2144196,1.8528052
-0.78703486,0.78626504,-0.95475798,1.2604385,-1.2144196,1.8528052,-1.4897414,2.2045274
2.7401793,-2.4238506,2.7614036,-1.6976005,2.7264517,-1.0038863,2.7254206,-0.35450066
2.7614036,-1.6976005,2.7264517,-1.0038863,2.7254206,-0.35450066,2.7127434,0.41407434
2.7264517,-1.0038863,2.7254206,-0.35450066,2.7127434,0.41407434,2.6173633,0.99890642
2.7254206,-0.35450066,2.7127434,0.41407434,2.6173633,0.99890642,2.5856139,1.750828
2.7127434,0.41407434,2.6173633,0.99890642,2.5856139,1.750828,2.5241017,2.2916867
-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368
-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368
-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368
-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368
-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368
-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368
-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368
-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368
-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368
-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368
-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368
-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368
-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368
-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368
-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368
-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368
-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368
-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368
-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368
-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368
-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368
-1.5855017,0.92758368,-1.5855017,0.92758368,-1.5855017,0.92758368,-1.605166,0.93056232
-1.5855017,0.92758368,-1.5855017,0.92758368,-1.605166,0.93056232,-1.605166,0.93056232
-1.7211497,1.3181645,-1.7211497,1.3181645,-1.7211497,1.3181645,-1.7211497,1.3181645
-1.7211497,1.3181645,-1.7211497,1.3181645,-1.7211497,1.3181645,-1.7211497,1.3181645
-1.7211497,1.3181645,-1.7211497,1.3181645,-1.7211497,1.3181645,-1.7211497,1.3181645
-1.7211497,1.3181645,-1.7211497,1.3181645,-1.7211497,1.3181645,-1.7211497,1.3181645
-1.7211497,1.3181645,-1.7211497,1.3181645,-1.7211497,1.3181645,-1.7211497,1.3181645
-1.7211497,1.3181645,-1.7211497,1.3181645,-1.7211497,1.3181645,-1.7211497,1.3181645
-1.7211497,1.3181645,-1.7211497,1.3181645,-1.7211497,1.3181645,-1.7211497,1.3181645
-1.7211497,1.3181645,-1.7211497,1.3181645,-1.7211497,1.3181645,-1.7211497,1.3181645
-1.7211497,1.3181645,-1.7211497,1.3181645,-1.7211497,1.3181645,-1.7014442,1.315107
-1.7211497,1.3181645,-1.7211497,1.3181645,-1.7014442,1.315107,-1.7014442,1.315107
-1.7211497,1.3181645,-1.7014442,1.315107,-1.7014442,1.315107,-1.7014442,1.315107
-1.7014442,1.315107,-1.7014442,1.315107,-1.7014442,1.315107,-1.7014442,1.315107
-1.7014442,1.315107,-1.7014442,1.315107,-1.7014442,1.315107,-1.7014442,1.315107
-1.7014442,1.315107,-1.7014442,1.315107,-1.7014442,1.315107,-1.7014442,1.315107
-1.7014442,1.315107,-1.7014442,1.315107,-1.7014442,1.315107,-1.7014442,1.315107
-1.7014442,1.315107,-1.7014442,1.315107,-1.7014442,1.315107,-1.7014442,1.315107
-1.7014442,1.315107,-1.7014442,1.315107,-1.7014442,1.315107,-1.7014442,1.315107
-1.7014442,1.315107,-1.7014442,1.315107,-1.7014442,1.315107,-1.7014442,1.315107
-1.7014442,1.315107,-1.7014442,1.315107,-1.7014442,1.315107,-1.7014442,1.315107
-1.7014442,1.315107,-1.7014442,1.315107,-1.7014442,1.315107,-1.7014442,1.315107
-1.7014442,1.315107,-1.7014442,1.315107,-1.7014442,1.315107,-1.7014442,1.315107
-1.7014442,1.315107,-1.7014442,1.315107,-1.7014442,1.315107,-1.7211497,1.3181645
-1.7014442,1.315107,-1.7014442,1.315107,-1.7211497,1.3181645,-1.7211497,1.3181645
-2.4448244,2.2787857,-2.4324205,2.4835189,-2.4249809,2.6063116,-2.3701952,2.8450349
-2.4324205,2.4835189,-2.4249809,2.6063116,-2.3701952,2.8450349,-2.4165818,3.4105767
-2.4249809,2.6063116,-2.3701952,2.8450349,-2.4165818,3.4105767,-2.4130049,3.8021739
-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795
-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795
-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795
-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795
-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795
-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795
-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795
-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795
-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795
-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795
-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795
-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795
-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795
-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795
-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795
-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.5202023,-0.64327399
-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.5202023,-0.64327399,-1.4476874,-0.75584795
-1.4476874,-0.75584795,-1.5202023,-0.64327399,-1.4476874,-0.75584795,-1.4476874,-0.75584795
-1.5202023,-0.64327399,-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.5595225,-0.63793023
-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.5595225,-0.63793023,-1.5177839,-0.60248974
-1.4476874,-0.75584795,-1.5595225,-0.63793023,-1.5177839,-0.60248974,-1.4476874,-0.75584795
-1.5595225,-0.63793023,-1.5177839,-0.60248974,-1.4476874,-0.75584795,-1.4476874,-0.75584795
-1.5177839,-0.60248974,-1.4476874,-0.75584795,-1.4476874,-0.75584795,-1.4476874,-0.75584795
0.39605728,2.8989098,0.33270944,2.1261839,0.34146738,1.2799188,0.40921307,0.4644134
0.33270944,2.1261839,0.34146738,1.2799188,0.40921307,0.4644134,0.41800369,-0.38268497
0.34146738,1.2799188,0.40921307,0.4644134,0.41800369,-0.38268497,0.50348097,-1.2204905
0.40921307,0.4644134,0.41800369,-0.38268497,0.50348097,-1.2204905,0.53231991,-2.0506106
0.41800369,-0.38268497,0.50348097,-1.2204905,0.53231991,-2.0506106,0.58003254,-2.8832343
0.50348097,-1.2204905,0.53231991,-2.0506106,0.58003254,-2.8832343,0.60434818,-3.7940913
0.53231991,-2.0506106,0.58003254,-2.8832343,0.60434818,-3.7940913,0.76052335,-4.7183165
0.58003254,-2.8832343,0.60434818,-3.7940913,0.76052335,-4.7183165,0.70617103,-5.6826804
0.60434818,-3.7940913,0.76052335,-4.7183165,0.70617103,-5.6826804,0.69963944,-6.470822
0.76052335,-4.7183165,0.70617103,-5.6826804,0.69963944,-6.470822,0.74512667,-7.3444872
0.70617103,-5.6826804,0.69963944,-6.470822,0.74512667,-7.3444872,0.8083194,-8.2395756
0.69963944,-6.470822,0.74512667,-7.3444872,0.8083194,-8.2395756,0.83498199,-9.112259
1.2607439,2.8275463,1.3422731,2.6144249,1.3638001,2.3323255,1.341681,1.9381791
1.3422731,2.6144249,1.3638001,2.3323255,1.341681,1.9381791,1.389171,1.4527609
1.3638001,2.3323255,1.341681,1.9381791,1.389171,1.4527609,1.3963358,0.91411569
1.341681,1.9381791,1.389171,1.4527609,1.3963358,0.91411569,1.3424136,0.28470736
1.389171,1.4527609,1.3963358,0.91411569,1.3424136,0.28470736,1.3810983,-0.35911982
1.3963358,0.91411569,1.3424136,0.28470736,1.3810983,-0.35911982,1.3085578,-0.98775965
1.3424136,0.28470736,1.3810983,-0.35911982,1.3085578,-0.98775965,1.2871593,-1.7044569
1.3810983,-0.35911982,1.3085578,-0.98775965,1.2871593,-1.7044569,1.3017896,-2.4464726
1.3085578,-0.98775965,1.2871593,-1.7044569,1.3017896,-2.4464726,1.2595449,-3.2024831
1.2871593,-1.7044569,1.3017896,-2.4464726,1.2595449,-3.2024831,1.234734,-3.981742
1.3017896,-2.4464726,1.2595449,-3.2024831,1.234734,-3.981742,1.2296364,-4.7439598
1.2595449,-3.2024831,1.234734,-3.981742,1.2296364,-4.7439598,1.2420555,-5.5286139
1.234734,-3.981742,1.2296364,-4.7439598,1.2420555,-5.5286139,1.3170404,-6.1983014
1.2296364,-4.7439598,1.2420555,-5.5286139,1.3170404,-6.1983014,1.2516204,-7.0379732
1.2420555,-5.5286139,1.3170404,-6.1983014,1.2516204,-7.0379732,1.3024616,-7.8066748
1.3170404,-6.1983014,1.2516204,-7.0379732,1.3024616,-7.8066748,1.298505,-8.5519056
0.99607551,3.7911944,0.8838029,3.4726909,0.74799948,3.0774719,0.73631184,2.5393753
0.8838029,3.4726909,0.74799948,3.0774719,0.73631184,2.5393753,0.73997807,1.9381822
0.74799948,3.0774719,0.73631184,2.5393753,0.73997807,1.9381822,0.7623926,1.333624
0.73631184,2.5393753,0.73997807,1.9381822,0.7623926,1.333624,0.78368607,0.7090424
0.73997807,1.9381822,0.7623926,1.333624,0.78368607,0.7090424,0.76410875,0.030071855
0.7623926,1.333624,0.78368607,0.7090424,0.76410875,0.030071855,0.74337893,-0.66964434
0.78368607,0.7090424,0.76410875,0.030071855,0.74337893,-0.66964434,0.72149301,-1.390194
0.76410875,0.030071855,0.74337893,-0.66964434,0.72149301,-1.390194,0.69392067,-2.2116372
