,frame_number,pedestrian_ID,pos_x,pos_y,v_x,v_y
0,0,1,1.3983781,-5.7433032,-0.32708274,-1.6802858
1,0,2,0.51779648,-7.0038322,0.097996543,-1.6298741
2,0,3,2.2598137,-4.5465974,-0.90111062,1.187025
3,0,4,2.7401793,-2.4238506,0.053060755,1.8156253
4,0,5,-1.5855017,0.92758368,0.0,0.0
5,0,6,-1.7211497,1.3181645,0.0,0.0
6,0,7,-2.4448244,2.2787857,0.031009943,0.51183302
7,0,8,-1.4476874,-0.75584795,0.0,0.0
8,0,9,1.1644552,-8.6045992,0.053472947,-1.567786
9,0,10,-0.10579863,-9.902063,0.0029125421,0.051074615
10,1,1,1.267545,-6.4154175,-0.32708274,-1.6802858
11,1,2,0.5569951,-7.6557818,0.097996543,-1.6298741
12,1,3,1.8993694,-4.0717874,-0.96261715,1.3975563
13,1,4,2.7614036,-1.6976005,-0.017159581,1.7749554
14,1,5,-1.5855017,0.92758368,0.0,0.0
15,1,6,-1.7211497,1.3181645,0.0,0.0
16,1,7,-2.4324205,2.4835189,0.024804378,0.40940739
17,1,8,-1.4476874,-0.75584795,0.0,0.0
18,1,9,1.1858444,-9.2317137,0.053472947,-1.567786
19,1,10,-0.10463361,-9.8816332,0.0029125421,0.051074615
20,2,3,1.48972,-3.4285524,-0.99263485,1.4095401
21,2,4,2.7264517,-1.0038863,-0.044978836,1.6788748
22,2,5,-1.5855017,0.92758368,0.0,0.0
23,2,6,-1.7211497,1.3181645,0.0,0.0
24,2,7,-2.4249809,2.6063116,0.077781611,0.45189498
25,2,8,-1.4476874,-0.75584795,0.0,0.0
26,3,3,1.1052616,-2.9441553,-0.84308464,1.2762497
27,3,4,2.7254206,-0.35450066,-0.017135367,1.7724508
28,3,5,-1.5855017,0.92758368,0.0,0.0
29,3,6,-1.7211497,1.3181645,0.0,0.0
30,3,7,-2.3701952,2.8450349,0.010498872,1.0053313
31,3,8,-1.4476874,-0.75584795,0.0,0.0
32,4,3,0.81525226,-2.4075526,-0.8757881,1.2377305
33,4,4,2.7127434,0.41407434,-0.1350716,1.6917589
34,4,5,-1.5855017,0.92758368,0.0,0.0
35,4,6,-1.7211497,1.3181645,0.0,0.0
36,4,7,-2.4165818,3.4105767,-0.053512192,1.1964237
37,4,8,-1.4476874,-0.75584795,0.0,0.0
38,5,3,0.40463108,-1.9539709,-0.83733271,1.1640346
39,5,4,2.6173633,0.99890642,-0.15891186,1.6709421
40,5,5,-1.5855017,0.92758368,0.0,0.0
41,5,6,-1.7211497,1.3181645,0.0,0.0
42,5,7,-2.4130049,3.8021739,0.0089422816,0.97899295
43,5,8,-1.4476874,-0.75584795,0.0,0.0
44,6,3,0.14538609,-1.4763249,-0.66774522,1.3007638
45,6,4,2.5856139,1.750828,-0.11657693,1.6159753
46,6,5,-1.5855017,0.92758368,0.0,0.0
47,6,6,-1.7211497,1.3181645,0.0,0.0
48,6,8,-1.4476874,-0.75584795,0.0,0.0
49,7,3,-0.1295651,-0.91335984,-0.63961457,1.4293548
50,7,4,2.5241017,2.2916867,-0.15378036,1.3521467
51,7,5,-1.5855017,0.92758368,0.0,0.0
52,7,6,-1.7211497,1.3181645,0.0,0.0
53,7,8,-1.4476874,-0.75584795,0.0,0.0
54,8,3,-0.36630557,-0.33284107,-0.54489239,1.4472727
55,8,5,-1.5855017,0.92758368,0.0,0.0
56,8,6,-1.7211497,1.3181645,0.0,0.0
57,8,8,-1.4476874,-0.75584795,0.0,0.0
58,9,3,-0.56547902,0.24445831,-0.52591162,1.3988826
59,9,5,-1.5855017,0.92758368,0.0,0.0
60,9,6,-1.7211497,1.3181645,0.0,0.0
61,9,8,-1.4476874,-0.75584795,0.0,0.0
62,10,3,-0.78703486,0.78626504,-0.4865987,1.2699752
63,10,5,-1.5855017,0.92758368,0.0,0.0
64,10,6,-1.7211497,1.3181645,0.024631896,-0.0038218586
65,10,8,-1.4476874,-0.75584795,0.0,0.0
66,11,3,-0.95475798,1.2604385,-0.53423096,1.3331752
67,11,5,-1.5855017,0.92758368,0.0,0.0
68,11,6,-1.7014442,1.315107,0.024631896,-0.0038218586
69,11,8,-1.4476874,-0.75584795,0.0,0.0
70,12,3,-1.2144196,1.8528052,-0.66872923,1.1801111
71,12,5,-1.5855017,0.92758368,0.0,0.0
72,12,6,-1.7014442,1.315107,0.0,0.0
73,12,8,-1.4476874,-0.75584795,0.0,0.0
74,13,3,-1.4897414,2.2045274,-0.68830433,0.87930533
75,13,5,-1.5855017,0.92758368,0.0,0.0
76,13,6,-1.7014442,1.315107,0.0,0.0
77,13,8,-1.4476874,-0.75584795,0.0,0.0
78,14,5,-1.5855017,0.92758368,0.0,0.0
79,14,6,-1.7014442,1.315107,0.0,0.0
80,14,8,-1.4476874,-0.75584795,0.0,0.0
81,14,11,0.39605728,2.8989098,-0.15836959,-1.9318146
82,14,12,1.2607439,2.8275463,0.20382305,-0.53280355
83,14,13,0.99607551,3.7911944,-0.28068153,-0.79625884
84,15,5,-1.5855017,0.92758368,0.0,0.0
85,15,6,-1.7014442,1.315107,0.0,0.0
86,15,8,-1.4476874,-0.75584795,0.0,0.0
87,15,11,0.33270944,2.1261839,-0.068237376,-2.0237388
88,15,12,1.3422731,2.6144249,0.12882024,-0.61902596
89,15,13,0.8838029,3.4726909,-0.31009503,-0.89215317
90,16,5,-1.5855017,0.92758368,0.0,0.0
91,16,6,-1.7014442,1.315107,0.0,0.0
92,16,8,-1.4476874,-0.75584795,0.0,0.0
93,16,11,0.34146738,1.2799188,0.095629534,-2.0772131
94,16,12,1.3638001,2.3323255,-0.00074022471,-0.84530728
